Fecha,Texto
2025-01-13 23:15:26,"jocarsa | darkturquoise es un software web para texto de teleprompter, y se puede usar gratuitamente en: https://darkturquoise.jocarsa.com/"
2025-01-13 21:23:30,Moon
2025-01-05 23:03:32,"Actualización de la aplicación jocarsa | teal, que tendrá su lanzamiento oficial en los próximos meses. Mediante esta aplicación, cualquier organización puede construir, de forma autónoma, su propio software de gestión de empresa sin necesidad de saber programar. 

En los últimos días se han añadido actualizaciones importantes: ahora una organización puede crear, dentro de su cuenta, diferentes aplicaciones, tan interconectadas o independientes como se desee (por ejemplo: departamentos dentro de una empresa). Adicionalmente, dentro de cada ""aplicación"", pueden crearse no solo tablas, sino carpetas de tablas (con opción de recursividad), para organizar y visualizar mejor la información - en el video aparece solo una pequeña muestra de esta característica, en breve publicaré vídeos con walkthroughs más extensos, en los cuales se podrá apreciar mejor la potencia de esta característica.

Para las próximas semanas, están previstas muchas novedades interesantes de forma previa al lanzamiento oficial. Más información en https://jocarsa.com"
2025-01-04 20:03:40,"jocarsa | forestGreen es una aplicación de mensajería instantánea mediante la cual los miembros de una organización pueden comunicarse entre sí - es un producto pensado en ofrecer una solución personalizada, adaptable y corporativa como alternativa a las aplicaciones de mensajería de uso general. Más información en https://jocarsa.com"
2025-01-03 16:46:07,"Hoy he publicado otro proyecto de código abierto (licencia GPLv3) en GitHub: jocarsa | white, que consiste en una serie de iconos preparados para ser utilizados por cualquier aplicación web. Puedes encontrar más información en https://github.com/jocarsa/jocarsa-white - Aquellos usuarios que vinculen directamente a la página de GitHub, recibirán automáticamente las actualizaciones (nuevos iconos) que vayan siendo publicados. En el video se muestra la integración de los iconos en el producto jocarsa | steelblue, un gestor de documentos en la nube, especialmente diseñado para organizaciones que deseen contar con una nube propia y personalizable de documentos."
2025-01-02 14:57:26,"Optimiza tu tiempo con jocarsa | lightSalmon

¿Buscas una herramienta eficaz para gestionar tus eventos y tareas diarias? jocarsa | lightSalmon es la solución perfecta tanto para empresas como para particulares. Esta plataforma intuitiva te permite crear múltiples calendarios, programar eventos recurrentes y personalizar tus agendas según tus necesidades.

Características principales:

-Múltiples Calendarios: Organiza proyectos, equipos o actividades personales de manera independiente.
-Eventos Recurrentes: Automatiza la programación de reuniones y tareas que se repiten.
-Colaboración en Tiempo Real: Comparte calendarios con tu equipo para una coordinación eficiente.
-Acceso Multidispositivo: Sincroniza tu calendario en todos tus dispositivos para tener siempre la información a mano.
-Seguridad Garantizada: Protege tus datos con nuestras avanzadas medidas de seguridad.

Con jocarsa | lightSalmon, ahorrarás tiempo, mejorarás la productividad y mantendrás todo bajo control. Simplifica la gestión de tu tiempo y enfócate en lo que realmente importa.

¿Quieres saber más? Visita https://jocarsa.com o contacta directamente para recibir más información y descubrir cómo podemos ayudarte a optimizar tu organización diaria."
2025-01-02 00:07:55,"Proyecto de Nochevieja y Año Nuevo - Videojuego de mundo abierto de jugabilidad similar a Minecraft - Programado para ser jugado directamente en la web, usando el framework Three.js"
2024-12-27 23:16:51,"En los últimos días he estado trabajando sobre la adaptación del software jocarsa | darkKhaki (toma de notas e ideas de forma libre y creativa) para dispositivos táctiles, y esta mañana he tenido la oportunidad de ponerlo a prueba en un soporte de tamaño grande como es una pizarra digital, en las instalaciones de TAME Centro de Formación de Mislata, donde tengo el placer y el honor de impartir el Ciclo Formativo de Grado Superior en Desarrollo de Aplicaciones Multiplataforma."
2024-12-25 23:46:47,"Nuevo software publicado bajo la licencia libre GPLv3, para que lo use quien necesite: jocarsa | seashell - El objetivo de este software consiste en añadir automáticamente un buscador en todos los campos <select> de un formulario. Al final del video se muestra su integración en otro software, jocarsa | indianred. Más información en: https://github.com/jocarsa/jocarsa-seashell"
2024-12-24 23:34:51,"¡Feliz Navidad! Acabo de publicar en GitHub, bajo licencia abierta GPL para que todo el mundo pueda usarlo, el proyecto jocarsa | snow para convertir cualquier campo <textarea> de HTML en un completo editor WYSIWYG. Puede ser descargado y usado gratuitamente, o bien enlazado directamente desde GitHub Pages (el readme inicial del repositorio contiene instrucciones y ejemplos sobre cómo realizar el enlace) - Más información en: https://github.com/jocarsa/jocarsa-snow"
2024-12-21 00:31:16,"jocarsa | wheat es un software de microwiki en la nube, de fácil instalación, fácil uso y muy ligero, pensado para formar parte de la inteligencia empresarial de cualquier compañía que quiera usar este recurso como parte de su estrategia digital, en el cual la información (privada y/o pública a múltiples niveles) puede crearse y consultarse de forma colaborativa."
2024-12-19 21:56:38,"jocarsa | teal es un software que permite a cualquier usuario crear por si mismo un sistema de gestión empresarial, ideal para autonomos y pequeñas empresas."
2024-12-17 22:10:44,Un poco de Python + OpenCV + matemáticas
2024-12-17 10:24:42,"jocarsa | maroon es un software de planificación y estadística personal, permite crear estadísticas, tomar datos, y representar los datos de forma sencilla mediante gráficas en un panel de control propio"
2024-12-08 21:41:33,"Miniproyecto de domingo por la tarde: DarkKhaki, una aplicación web que te permite esbozar rápidamente y organizar tus ideas con una metodología similar a los mapas mentales, pero con más grado de libertad, guardando la información en el navegador local, o pudiendo descargar los archivos de forma persistente - https://jocarsa.com/go/darkkhaki/"
2024-12-07 17:22:02,"Proyecto de fin de semana - Videojuego online (de momento en LAN) con una jugabilidad similar a Among Us, pero quitando las mecánicas violentas y sangrientas con el objetivo de hacer un juego algo más constructivo y que resulte divertido (de momento gana el que antes consiga recoger una serie de objetos)"
2024-12-06 21:44:22,Ejercicio del curso avanzado de Blender en @escuelamastermedia - modelado de vehículos deportivos
2024-12-05 22:18:48,"Para empezar el puente, un poco de animación con Python, OpenCV y Numpy"
2024-12-01 21:37:18,"Uno de los ejercicios de modelado y texturización del Curso Avanzado de Blender en @escuelamastermedia - ""This is why I hate video games. It appeals to the male fantasy"""
2024-11-25 22:17:43,"Segunda clase del curso de Blender Avanzado en @escuelamastermedia hoy continuando el modelado de humanos, con el detallado de caras."
2024-11-21 18:28:09,"En en clase de Blender Avanzado en @escuelamastermedia modelado de la base de un cuerpo humano, para añadirle detalles en próximas clases."
2024-11-20 16:58:27,"Seguimos con los exámenes de primera evaluación de primer curso del Ciclo Formativo de Grado Superior en Desarrollo de Aplicaciones Multiplataforma en el Centro de Formación TAME, hoy estrenando un nuevo software de digital proctoring para capturar las pantallas de mis alumnos de forma simultánea a medida que realizan sus exámenes - que precisamente mis alumnos son los mejores del mundo y probablemente sean los que menos necesiten esta herramienta, pero hoy me están ayudando a estrenarla."
2024-11-19 20:06:52,Comenzando exámenes de primera evaluación del Ciclo Formativo de Grado Superior en Desarrollo de Aplicaciones Multiplataforma en TAME Centro de Formación
2024-11-07 23:33:03,Diseño y modelado 3D de personajes de tipo cartoon en Blender y Cycles.
2024-11-05 12:33:48,"En clase hoy, dentro del Máster en Diseño Web y Programación en @escuelamastermedia hemos hecho una aplicación de videoconferencia con websockets contra un servidor programado en node.js"
2024-11-05 10:42:26,"En clase hoy, desarrollando una aplicación Full Stack con Angular, Node, Express y MongoDB, con tienda online frontal y panel de administración, en el Máster en Diseño Web y Programación en @escuelamastermedia"
2024-11-04 22:57:18,Uno de los ejercicios realizados durante las clases de Programación Multimedia en el Ciclo Formativo de Desarrollo de Aplicaciones Multiplataforma que imparto en TAME - generación sintética de video y audio en sincronía
